citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
70 FR 62021, 05-21571,62025,https://www.federalregister.gov/documents/2005/10/27/05-21571/further-strengthening-the-sharing-of-terrorism-information-to-protect-americans,https://www.govinfo.gov/content/pkg/FR-2005-10-27/pdf/05-21571.pdf,Presidential Document,Executive Order,10/27/2005,10/25/2005,62021,Further Strengthening the Sharing of Terrorism Information To Protect Americans,"Revokes: EO 13356, August 27, 2004; Amends: EO 13311, July 29, 2003; See: EO 12958, April 17, 1995",13388
70 FR 60695, 05-20944,60714,https://www.federalregister.gov/documents/2005/10/18/05-20944/2005-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2005-10-18/pdf/05-20944.pdf,Presidential Document,Executive Order,10/18/2005,10/14/2005,60695,"2005 Amendments to the Manual for Courts-Martial, United States","Amends: EO 12473, April 13, 1984; See: EO 12958, April 17, 1995",13387
70 FR 58289, 05-20156,58289,https://www.federalregister.gov/documents/2005/10/05/05-20156/further-amendment-to-executive-order-13369-relating-to-the-presidents-advisory-panel-on-federal-tax,https://www.govinfo.gov/content/pkg/FR-2005-10-05/pdf/05-20156.pdf,Presidential Document,Executive Order,10/05/2005,09/30/2005,58289,"Further Amendment to Executive Order 13369, Relating to the President's Advisory Panel on Federal Tax Reform","Amends: EO 13369, January 7, 2005; See: EO 13379, June 16, 2005; EO 13446, September 28, 2007",13386
70 FR 57987, 05-19993,57991,https://www.federalregister.gov/documents/2005/10/04/05-19993/continuance-of-certain-federal-advisory-committees-and-amendments-to-and-revocation-of-other,https://www.govinfo.gov/content/pkg/FR-2005-10-04/pdf/05-19993.pdf,Presidential Document,Executive Order,10/04/2005,09/29/2005,57987,Continuance of Certain Federal Advisory Committees and Amendments to and Revocation of Other Executive Orders,"Amends: EO 12216, June 18, 1980; EO 12367, June 15, 1982; EO 13226, September 30, 2001; EO 13231, October 16, 2001;
Supersedes in part: EO 13316, September 17, 2003;
Revokes: EO 13283, January 21, 2003; EO 13326, January 27, 2004; EO 13328, February 6, 2004; Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12382, September 13, 1982; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13231, October 16, 2001; EO 13237, November 28, 2001; EO 13256, February 12, 2002; EO 13265, June 6, 2002; EO 13270, July 3, 2002; Superseded in part by: EO 13446, September 28, 2007",13385
70 FR 43739, 05-15160,43739,https://www.federalregister.gov/documents/2005/07/29/05-15160/assignment-of-functions-relating-to-original-appointments-as-commissioned-officers-and-chief-warrant,https://www.govinfo.gov/content/pkg/FR-2005-07-29/pdf/05-15160.pdf,Presidential Document,Executive Order,07/29/2005,07/27/2005,43739,Assignment of Functions Relating to Original Appointments as Commissioned Officers and Chief Warrant Officer Appointments in the Armed Forces,"",13384
70 FR 41933, 05-14452,41933,https://www.federalregister.gov/documents/2005/07/20/05-14452/amending-executive-orders-12139-and-12949-in-light-of-establishment-of-the-office-of-director-of,https://www.govinfo.gov/content/pkg/FR-2005-07-20/pdf/05-14452.pdf,Presidential Document,Executive Order,07/20/2005,07/15/2005,41933,Amending Executive Orders 12139 and 12949 in Light of Establishment of the Office of Director of National Intelligence,"Amends: EO 12139, May 23, 1979; EO 12949, February 9, 1995",13383
70 FR 38565, 05-13214,38570,https://www.federalregister.gov/documents/2005/07/01/05-13214/blocking-property-of-weapons-of-mass-destruction-proliferators-and-their-supporters,https://www.govinfo.gov/content/pkg/FR-2005-07-01/pdf/05-13214.pdf,Presidential Document,Executive Order,07/01/2005,06/28/2005,38565,Blocking Property of Weapons of Mass Destruction Proliferators and Their Supporters,"Amends: EO 12938, November 14, 1994; See: EO 12735, November 16, 1990; EO 13094, July 28, 1998; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009; EO 13810, September 20, 2017",13382
70 FR 37951, 05-13098,37955,https://www.federalregister.gov/documents/2005/06/30/05-13098/strengthening-processes-relating-to-determining-eligibility-for-access-to-classified-national,https://www.govinfo.gov/content/pkg/FR-2005-06-30/pdf/05-13098.pdf,Presidential Document,Executive Order,06/30/2005,06/27/2005,37951,Strengthening Processes Relating to Determining Eligibility for Access to Classified National Security Information,"Amends: EO 12171, November 19, 1979; See: EO 12958, April 17, 1995; Amended by: EO 13403, May 12, 2006; EO 13408, June 29, 2006; EO 13436, June 28, 2007; Revoked by: EO 13467, June 30, 2008",13381
70 FR 35509, 05-12354,35510,https://www.federalregister.gov/documents/2005/06/21/05-12354/implementing-amendments-to-agreement-on-border,https://www.govinfo.gov/content/pkg/FR-2005-06-21/pdf/05-12354.pdf,Presidential Document,Executive Order,06/21/2005,06/17/2005,35509,Implementing Amendments to Agreement on Border,"Amends: EO 13369, May 13, 1994",13380
70 FR 35505, 05-12284,35505,https://www.federalregister.gov/documents/2005/06/20/05-12284/amendment-to-executive-order-13369-relating-to-the-presidents-advisory-panel-on-federal-tax-reform,https://www.govinfo.gov/content/pkg/FR-2005-06-20/pdf/05-12284.pdf,Presidential Document,Executive Order,06/20/2005,06/16/2005,35505,"Amendment to Executive Order 13369, Relating to the President's Advisory Panel on Federal Tax Reform","Amends: EO 13369, January 7, 2005; See: EO 13386, September 30, 2005; EO 13446, September 28, 2007",13379
