citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
69 FR 41745, 04-15787,41747,https://www.federalregister.gov/documents/2004/07/09/04-15787/amending-executive-order-13261-on-the-order-of-succession-in-the-environmental-protection-agency,https://www.govinfo.gov/content/pkg/FR-2004-07-09/pdf/04-15787.pdf,Presidential Document,Executive Order,07/09/2004,07/07/2004,41745,Amending Executive Order 13261 on the Order of Succession in the Environmental Protection Agency,"See: EO 11582, February 11, 1971",13344
69 FR 32245, 04-13123,32245,https://www.federalregister.gov/documents/2004/06/08/04-13123/providing-for-the-closing-of-government-departments-and-agencies-on-june-11-2004,https://www.govinfo.gov/content/pkg/FR-2004-06-08/pdf/04-13123.pdf,Presidential Document,Executive Order,06/08/2004,06/06/2004,32245,"Providing for the Closing of Government Departments and Agencies on June 11, 2004","See: EO 11582, February 11, 1971",13343
69 FR 31507, 04-12745,31510,https://www.federalregister.gov/documents/2004/06/03/04-12745/responsibilities-of-the-departments-of-commerce-and-veterans-affairs-and-the-small-business,https://www.govinfo.gov/content/pkg/FR-2004-06-03/pdf/04-12745.pdf,Presidential Document,Executive Order,06/03/2004,06/01/2004,31507,Responsibilities of the Departments of Commerce and Veterans Affairs and the Small Business Administration With Respect to Faith-Based and Community Initiatives,"Amended by: EO 14015, February 14, 2021",13342
69 FR 29841, 04-11991,29844,https://www.federalregister.gov/documents/2004/05/25/04-11991/further-amendment-to-executive-order-11023-providing-for-the-performance-by-the-secretary-of,https://www.govinfo.gov/content/pkg/FR-2004-05-25/pdf/04-11991.pdf,Presidential Document,Executive Order,05/25/2004,05/20/2004,29841,"Further Amendment to Executive Order 11023, Providing for the Performance by the Secretary of Commerce of Certain Functions Relating to the National Oceanic and Atmospheric Administration","",13341
69 FR 29043, 04-11592,29045,https://www.federalregister.gov/documents/2004/05/20/04-11592/establishment-of-great-lakes-interagency-task-force-and-promotion-of-a-regional-collaboration-of,https://www.govinfo.gov/content/pkg/FR-2004-05-20/pdf/04-11592.pdf,Presidential Document,Executive Order,05/20/2004,05/18/2004,29043,Establishment of Great Lakes Interagency Task Force and Promotion of a Regional Collaboration of National Significance for the Great Lakes,"",13340
69 FR 28035, 04-11271,28039,https://www.federalregister.gov/documents/2004/05/17/04-11271/increasing-economic-opportunity-and-business-participation-of-asian-americans-and-pacific-islanders,https://www.govinfo.gov/content/pkg/FR-2004-05-17/pdf/04-11271.pdf,Presidential Document,Executive Order,05/17/2004,05/13/2004,28035,Increasing Economic Opportunity and Business Participation of Asian Americans and Pacific Islanders,"Amended by: EO 13403, May 12, 2006; Superseded by: EO 13515, October 14, 2009; EO 14031, May 28, 2021",13339
69 FR 26749, 04-11058,26754,https://www.federalregister.gov/documents/2004/05/13/04-11058/blocking-property-of-certain-persons-and-prohibiting-the-export-of-certain-goods-to-syria,https://www.govinfo.gov/content/pkg/FR-2004-05-13/pdf/04-11058.pdf,Presidential Document,Executive Order,05/13/2004,05/11/2004,26749,Blocking Property of Certain Persons and Prohibiting the Export of Certain Goods to Syria,"Amended by: EO 13460, February 13, 2008; See: EO 13224, September 23, 2001; Notice of May 5, 2005; EO 13399, April 25, 2006; Notice of May 8, 2006; Notice of May 8, 2007; Notice of May 7, 2008; Notice of May 7, 2009; Notice of May 3, 2010; EO 13572, April 29, 2011; EO 13573, May 18, 2011; EO 13582, August 17, 2011",13338
69 FR 25293, 04-10377,25297,https://www.federalregister.gov/documents/2004/05/05/04-10377/american-indian-and-alaska-native-education,https://www.govinfo.gov/content/pkg/FR-2004-05-05/pdf/04-10377.pdf,Presidential Document,Executive Order,05/05/2004,04/30/2004,25293,American Indian and Alaska Native Education,"See: EO 13175, November 6, 2000; EO 13592, December 2, 2011; Revokes: EO 13096, August 6, 1998",13336
69 FR 25299, 04-10378,25301,https://www.federalregister.gov/documents/2004/05/05/04-10378/issuance-of-permits-with-respect-to-certain-energy-related-facilities-and-land-transportation,https://www.govinfo.gov/content/pkg/FR-2004-05-05/pdf/04-10378.pdf,Presidential Document,Executive Order,05/05/2004,04/30/2004,25299,Issuance of Permits With Respect to Certain Energy-Related Facilities and Land Transportation Crossings on the International Boundaries of the United States,"Amends: EO 11423, August 16, 1968; See: EO 10485, September 3, 1953; EO 10530, May 10, 1954; EO 13212, May 18, 2001; Revoked by: EO 13867, April 10, 2019",13337
69 FR 24057, 04-10024,24061,https://www.federalregister.gov/documents/2004/04/30/04-10024/incentives-for-the-use-of-health-information-technology-and-establishing-the-position-of-the,https://www.govinfo.gov/content/pkg/FR-2004-04-30/pdf/04-10024.pdf,Presidential Document,Executive Order,04/30/2004,04/27/2004,24057,Incentives for the Use of Health Information Technology and Establishing the Position of the National Health Information Technology Coordinator,"",13335
69 FR 19915, 04-8616,19918,https://www.federalregister.gov/documents/2004/04/14/04-8616/establishing-an-emergency-board-to-investigate-a-dispute-between-the-southeastern-pennsylvania,https://www.govinfo.gov/content/pkg/FR-2004-04-14/pdf/04-8616.pdf,Presidential Document,Executive Order,04/14/2004,04/10/2004,19915,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and its Conductors Represented by the United Transportation Union,"See: EO 13351, August 9, 2004",13334
69 FR 13455, 04-6622,13456,https://www.federalregister.gov/documents/2004/03/23/04-6622/amending-executive-order-13257-to-implement-the-trafficking-victims-protection-reauthorization-act,https://www.govinfo.gov/content/pkg/FR-2004-03-23/pdf/04-6622.pdf,Presidential Document,Executive Order,03/23/2004,03/18/2004,13455,Amending Executive Order 13257 To Implement the Trafficking Victims Protection Reauthorization Act of 2003,"Amends: EO 13257, February 13, 2002",13333
69 FR 10889, 04-5322,10900,https://www.federalregister.gov/documents/2004/03/08/04-5322/further-adjustment-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2004-03-08/pdf/04-5322.pdf,Presidential Document,Executive Order,03/08/2004,03/03/2004,10889,Further Adjustment of Certain Rates of Pay,"Supersedes: EO 13322, December 30, 2003;;
 ;  Superseded by: EO 13368, December 30, 2004",13332
69 FR 9911, 04-4884,9913,https://www.federalregister.gov/documents/2004/03/03/04-4884/national-and-community-service-programs,https://www.govinfo.gov/content/pkg/FR-2004-03-03/pdf/04-4884.pdf,Presidential Document,Executive Order,03/03/2004,02/27/2004,9911,National and Community Service Programs,"",13331
69 FR 9179, 04-4436,9182,https://www.federalregister.gov/documents/2004/02/26/04-4436/encouraging-innovation-in-manufacturing,https://www.govinfo.gov/content/pkg/FR-2004-02-26/pdf/04-4436.pdf,Presidential Document,Executive Order,02/26/2004,02/24/2004,9179,Encouraging Innovation in Manufacturing,"See: EO 12958, April 17, 1995",13329
69 FR 9183, 04-4451,9187,https://www.federalregister.gov/documents/2004/02/26/04-4451/human-service-transportation-coordination,https://www.govinfo.gov/content/pkg/FR-2004-02-26/pdf/04-4451.pdf,Presidential Document,Executive Order,02/26/2004,02/24/2004,9183,Human Service Transportation Coordination,"See: Proclamation 7804 of July 26, 2004",13330
69 FR 6899, 04-3170,6903,https://www.federalregister.gov/documents/2004/02/11/04-3170/commission-on-the-intelligence-capabilities-of-the-united-states-regarding-weapons-of-mass,https://www.govinfo.gov/content/pkg/FR-2004-02-11/pdf/04-3170.pdf,Presidential Document,Executive Order,02/11/2004,02/06/2004,6899,Commission on the Intelligence Capabilities of the United States Regarding Weapons of Mass Destruction,"Revoked by: EO 13385, September 29, 2005",13328
69 FR 5895, 04-2773,5900,https://www.federalregister.gov/documents/2004/02/06/04-2773/federal-real-property-asset-management,https://www.govinfo.gov/content/pkg/FR-2004-02-06/pdf/04-2773.pdf,Presidential Document,Executive Order,02/06/2004,02/04/2004,5895,Federal Real Property Asset Management,"Amended by: EO 13423, January 24, 2007; EO 13693, March 19, 2015;
 ;  Revokes: EO 12512, April 29, 1985",13327
69 FR 5253, 04-2408,5256,https://www.federalregister.gov/documents/2004/02/03/04-2408/presidents-commission-on-implementation-of-united-states-space-exploration-policy,https://www.govinfo.gov/content/pkg/FR-2004-02-03/pdf/04-2408.pdf,Presidential Document,Executive Order,02/03/2004,01/27/2004,5253,President's Commission on Implementation of United States Space Exploration Policy,"Revoked by: EO 13385, September 29, 2005",13326
69 FR 4215, 04-1941,4218,https://www.federalregister.gov/documents/2004/01/28/04-1941/amendment-to-executive-order-12293-the-foreign-service-of-the-united-states,https://www.govinfo.gov/content/pkg/FR-2004-01-28/pdf/04-1941.pdf,Presidential Document,Executive Order,01/28/2004,01/23/2004,4215,"Amendment to Executive Order 12293, the Foreign Service of the United States","Amends: EO 12293, February 23, 1981;;
 ;  Revoked by: EO 13374, March 14, 2005",13325
69 FR 2823, 04-1322,2824,https://www.federalregister.gov/documents/2004/01/20/04-1322/termination-of-emergency-with-respect-to-sierra-leone-and-liberia,https://www.govinfo.gov/content/pkg/FR-2004-01-20/pdf/04-1322.pdf,Presidential Document,Executive Order,01/20/2004,01/15/2004,2823,Termination of Emergency With Respect to Sierra Leone and Liberia,"Revokes: EO 13194, January 8, 2001; EO 13213, May 2, 2001",13324
69 FR 231, 03-32328,240,https://www.federalregister.gov/documents/2004/01/02/03-32328/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2004-01-02/pdf/03-32328.pdf,Presidential Document,Executive Order,01/02/2004,12/30/2003,231,Adjustments of Certain Rates of Pay,"Supersedes: EO 13282, December 31, 2002;;
 ;  See:  EO 13291, March 21, 2003;;
 ;  Superseded by: EO 13332, March 3, 2004",13322
69 FR 241, 03-32332,241,https://www.federalregister.gov/documents/2004/01/02/03-32332/assignment-of-functions-relating-to-arrivals-in-and-departures-from-the-united-states,https://www.govinfo.gov/content/pkg/FR-2004-01-02/pdf/03-32332.pdf,Presidential Document,Executive Order,01/02/2004,12/30/2003,241,Assignment of Functions Relating to Arrivals in and Departures From the United States,"",13323
68 FR 74465, 03-31594,74465,https://www.federalregister.gov/documents/2003/12/23/03-31594/appointments-during-national-emergency,https://www.govinfo.gov/content/pkg/FR-2003-12-23/pdf/03-31594.pdf,Presidential Document,Executive Order,12/23/2003,12/17/2003,74465,Appointments During National Emergency,"See:  EO 12396, December 9, 1982",13321
68 FR 69295, 03-30913,69295,https://www.federalregister.gov/documents/2003/12/12/03-30913/closing-of-executive-departments-and-agencies-of-the,https://www.govinfo.gov/content/pkg/FR-2003-12-12/pdf/03-30913.pdf,Presidential Document,Executive Order,12/12/2003,12/09/2003,69295,Closing of Executive Departments and Agencies of the,"See:  EO 11582, February 11, 1971",13320
68 FR 68233, 03-30513,68233,https://www.federalregister.gov/documents/2003/12/08/03-30513/amendment-to-executive-order-13183-establishment-of-the-presidents-task-force-on-puerto-ricos-status,https://www.govinfo.gov/content/pkg/FR-2003-12-08/pdf/03-30513.pdf,Presidential Document,Executive Order,12/08/2003,12/03/2003,68233,"Amendment to Executive Order 13183, Establishment of the President's Task Force on Puerto Rico's Status","Amends:  EO 13183, December 23, 2000",13319
68 FR 66317, 03-29644,66318,https://www.federalregister.gov/documents/2003/11/25/03-29644/presidential-management-fellows-program,https://www.govinfo.gov/content/pkg/FR-2003-11-25/pdf/03-29644.pdf,Presidential Document,Executive Order,11/25/2003,11/21/2003,66317,Presidential Management Fellows Program,"Supersedes: EO 12364, May 24, 1982;;
 ;  Revoked by: EO 13562, December 27, 2010",13318
68 FR 56515, 03-24919,56516,https://www.federalregister.gov/documents/2003/09/30/03-24919/volunteers-for-prosperity,https://www.govinfo.gov/content/pkg/FR-2003-09-30/pdf/03-24919.pdf,Presidential Document,Executive Order,09/30/2003,09/25/2003,56515,Volunteers for Prosperity,"Amended by: EO 13418, December 14, 2006",13317
68 FR 55255, 03-24217,55256,https://www.federalregister.gov/documents/2003/09/23/03-24217/continuance-of-certain-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-2003-09-23/pdf/03-24217.pdf,Presidential Document,Executive Order,09/23/2003,09/17/2003,55255,Continuance of Certain Federal Advisory Committees,"Amends:  EO 12131, May 4, 1979; Revokes: EO 12975, October 3, 1995; EO 13147, March 7, 2000; EO 13210, May 2, 2001; EO 13214, May 28, 2001; EO 13227, October 2, 2001; EO 13263, April 29, 2002; EO 13278, December 11, 2002; Revokes in part: EO 13111, January 12, 1999; EO 13177, December 4, 2000; Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12905, March 25, 1994; EO 13231, October 16, 2001; EO 13237, November 28, 2001; EO 13256, February 12, 2002; EO 13265, June 6, 2002; EO 13270, July 3, 2002; See:  EO 13018. September 16, 1996; EO 13046, May 16, 1997; EO 13137, September 15, 1999; EO 13167, September 15, 2000; EO 13188, January 12, 2001; EO 13218, June 20, 2001; EO 13255, February 6, 2002; Supersedes: EO 13225, September 28, 2001; Superseded in part by: EO 13385, September 29, 2005",13316
68 FR 52315, 03-22543,52322,https://www.federalregister.gov/documents/2003/09/03/03-22543/blocking-property-of-the-former-iraqi-regime-its-senior-officials-and-their-family-members-and,https://www.govinfo.gov/content/pkg/FR-2003-09-03/pdf/03-22543.pdf,Presidential Document,Executive Order,09/03/2003,08/28/2003,52315,"Blocking Property of the Former Iraqi Regime, Its Senior Officials and Their Family Members, and Taking Certain Other Actions","See:  EO 13303, May 22, 2003; EO 13364, November 29, 2004; EO 13438, July 17, 2007; Notice of May 20, 2004; Notice of May 19, 2005; Notice of May 18, 2006; Notice of May 18, 2007; Notice of May 20, 2008; Notice of May 19, 2009; Notice of May 12, 2010; EO 13668, May 27, 2014;
 Superseded in part by:  EO 13350, July 29, 2004",13315
68 FR 48249, 03-20764,48249,https://www.federalregister.gov/documents/2003/08/13/03-20764/waiver-under-the-trade-act-of-1974-with-respect-to-turkmenistan,https://www.govinfo.gov/content/pkg/FR-2003-08-13/pdf/03-20764.pdf,Presidential Document,Executive Order,08/13/2003,08/08/2003,48249,Waiver Under the Trade Act of 1974 With Respect to Turkmenistan,"",13314
68 FR 46073, 03-20013,46076,https://www.federalregister.gov/documents/2003/08/05/03-20013/delegation-of-certain-congressional-reporting-functions,https://www.govinfo.gov/content/pkg/FR-2003-08-05/pdf/03-20013.pdf,Presidential Document,Executive Order,08/05/2003,07/31/2003,46073,Delegation of Certain Congressional Reporting Functions,"",13313
68 FR 45149, 03-19675,45150,https://www.federalregister.gov/documents/2003/07/31/03-19675/homeland-security-information-sharing,https://www.govinfo.gov/content/pkg/FR-2003-07-31/pdf/03-19675.pdf,Presidential Document,Executive Order,07/31/2003,07/29/2003,45149,Homeland Security Information Sharing,"Amended by: EO 13388, October 25, 2005;;
 ;  See:  EO 12958, April 17, 1995; EO 12968, August 2, 1995; EO 13356, August 27, 2004",13311
68 FR 45151, 03-19676,45152,https://www.federalregister.gov/documents/2003/07/31/03-19676/implementing-the-clean-diamond-trade-act,https://www.govinfo.gov/content/pkg/FR-2003-07-31/pdf/03-19676.pdf,Presidential Document,Executive Order,07/31/2003,07/29/2003,45151,Implementing the Clean Diamond Trade Act,"See:  EO 13194, January 8, 2001; EO 13213, May 22, 2001",13312
68 FR 44851, 03-19572,44851,https://www.federalregister.gov/documents/2003/07/30/03-19572/amendments-to-executive-order-12994-and-renaming-the-presidents-committee-on-mental-retardation-as,https://www.govinfo.gov/content/pkg/FR-2003-07-30/pdf/03-19572.pdf,Presidential Document,Executive Order,07/30/2003,07/25/2003,44851,"Amendments to Executive Order 12994, and Renaming the President's Committee on Mental Retardation as the President's Committee for People with Intellectual Disabilities","Amends:  EO 12994, March 21, 1996",13309
68 FR 44853, 03-19573,44856,https://www.federalregister.gov/documents/2003/07/30/03-19573/blocking-property-of-the-government-of-burma-and-prohibiting-certain-transactions,https://www.govinfo.gov/content/pkg/FR-2003-07-30/pdf/03-19573.pdf,Presidential Document,Executive Order,07/30/2003,07/28/2003,44853,Blocking Property of the Government of Burma and Prohibiting Certain Transactions,"Amends:  EO 13047, May 20, 1997
See: EO 13448, October 18, 2007; EO 13464, April 30, 2008; Notice of May 17, 2004;  Notice of May 17, 2005; Notice of May 18, 2006; Notice of May 17, 2007; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010; EO 13619, July 11, 2012
Revoked by:   EO 13742, October 7, 2016",13310
68 FR 37689, 03-16102,37692,https://www.federalregister.gov/documents/2003/06/24/03-16102/further-amendment-to-executive-order-12580-as-amended-superfund-implementation,https://www.govinfo.gov/content/pkg/FR-2003-06-24/pdf/03-16102.pdf,Presidential Document,Executive Order,06/24/2003,06/20/2003,37689,"Further Amendment to Executive Order 12580, as Amended, Superfund Implementation","Amends:  EO 12580, January 23, 1987",13308
68 FR 33335, 03-14116,33337,https://www.federalregister.gov/documents/2003/06/03/03-14116/establishing-the-bob-hope-american-patriot-award,https://www.govinfo.gov/content/pkg/FR-2003-06-03/pdf/03-14116.pdf,Presidential Document,Executive Order,06/03/2003,05/28/2003,33335,Establishing the Bob Hope American Patriot Award,"",13306
68 FR 33338, 03-14117,33338,https://www.federalregister.gov/documents/2003/06/03/03-14117/european-central-bank,https://www.govinfo.gov/content/pkg/FR-2003-06-03/pdf/03-14117.pdf,Presidential Document,Executive Order,06/03/2003,05/29/2003,33338,European Central Bank,"",13307
68 FR 32323, 03-13750,32323,https://www.federalregister.gov/documents/2003/05/30/03-13750/extension-of-the-presidents-information-technology-advisory-committee-and-the-presidents-council-of,https://www.govinfo.gov/content/pkg/FR-2003-05-30/pdf/03-13750.pdf,Presidential Document,Executive Order,05/30/2003,05/28/2003,32323,Extension of the President's Information Technology Advisory Committee and the President's Council of Advisors on Science and Technology,"Amends:  EO 13035, February 11, 1997; EO 13226, September 30, 2001",13305
68 FR 32313, 03-13694,32322,https://www.federalregister.gov/documents/2003/05/29/03-13694/termination-of-emergencies-with-respect-to-yugoslavia-and-modification-of-executive-order-13219-of,https://www.govinfo.gov/content/pkg/FR-2003-05-29/pdf/03-13694.pdf,Presidential Document,Executive Order,05/29/2003,05/28/2003,32313,"Termination of Emergencies With Respect to Yugoslavia and Modification of Executive Order 13219 of June 26, 2001","Amends:  EO 13219, June 26, 2001;;
 ;  Revokes: EO 12808, May 30, 1992; EO 12810, June 5, 1992; EO 12831, January 15, 1993; EO 13088, June 9, 1998; EO 13121, April 30, 1999; EO 13192, January 17, 2001;;
 ;  See:  Notice of June 20, 2003; Notice of June 24, 2004; Notice of June 23, 2005; Notice of June 22, 2006; Notice of June 22, 2007; Notice of June 24, 2008; Notice of June 22, 2009; Notice of June 8, 2010",13304
68 FR 31929, 03-13412,31932,https://www.federalregister.gov/documents/2003/05/28/03-13412/protecting-the-development-fund-for-iraq-and-certain-other-property-in-which-iraq-has-an-interest,https://www.govinfo.gov/content/pkg/FR-2003-05-28/pdf/03-13412.pdf,Presidential Document,Executive Order,05/28/2003,05/22/2003,31929,Protecting the Development Fund for Iraq and Certain Other Property in Which Iraq Has an Interest,"Amended by: EO 13364, November 29, 2004;
 See:  EO 12722, August 8, 1990; EO 12724, August 9, 1990; EO 13290, March 20, 2003; EO 13315, August 28, 2003; EO 13350, July 29, 2004; EO 13438, July 17, 2007; Notice of May 20, 2004; Notice of May 19, 2005; Notice of May 18, 2006; Notice of May 18, 2007; Notice of May 20, 2008; Notice of May 19, 2009; Notice of May 12, 2010; EO 13668, May 27, 2014",13303
68 FR 27429, 03-12766,27430,https://www.federalregister.gov/documents/2003/05/20/03-12766/amending-executive-order-13212-actions-to-expedite-energy-related-projects,https://www.govinfo.gov/content/pkg/FR-2003-05-20/pdf/03-12766.pdf,Presidential Document,Executive Order,05/20/2003,05/15/2003,27429,"Amending Executive Order 13212, Actions to Expedite Energy-Related Projects","Amends:  EO 13212, May 18, 2001",13302
68 FR 26981, 03-12661,26981,https://www.federalregister.gov/documents/2003/05/19/03-12661/increasing-the-number-of-members-on-the-intelligence-oversight-board,https://www.govinfo.gov/content/pkg/FR-2003-05-19/pdf/03-12661.pdf,Presidential Document,Executive Order,05/19/2003,05/14/2003,26981,Increasing the Number of Members on the Intelligence Oversight Board,"Amends:  EO 12863, September 13, 1993; EO 13070, December 15, 1997;;
 ;  See: EO 13376, April 13, 2005",13301
68 FR 25805, 03-12071,25807,https://www.federalregister.gov/documents/2003/05/13/03-12071/facilitating-the-administration-of-justice-in-the-federal-courts,https://www.govinfo.gov/content/pkg/FR-2003-05-13/pdf/03-12071.pdf,Presidential Document,Executive Order,05/13/2003,05/09/2003,25805,Facilitating the Administration of Justice in the Federal Courts,"",13300
68 FR 25475, 03-11969,25478,https://www.federalregister.gov/documents/2003/05/12/03-11969/interagency-group-on-insular-areas,https://www.govinfo.gov/content/pkg/FR-2003-05-12/pdf/03-11969.pdf,Presidential Document,Executive Order,05/12/2003,05/08/2003,25475,Interagency Group on Insular Areas,"Superseded by: EO 13537, April 14, 2010",13299
68 FR 24855, 03-11713,24858,https://www.federalregister.gov/documents/2003/05/08/03-11713/termination-of-emergency-with-respect-to-the-actions-and-policies-of-unita-and-revocation-of-related,https://www.govinfo.gov/content/pkg/FR-2003-05-08/pdf/03-11713.pdf,Presidential Document,Executive Order,05/08/2003,05/06/2003,24855,Termination of Emergency With Respect to the Actions and Policies of Unita and Revocation of Related Executive Orders,"Revokes: EO 12865, September 26, 1993; EO 13069, December 12, 1997; EO 13098, August 18, 1998",13298
68 FR 22563, 03-10606,22566,https://www.federalregister.gov/documents/2003/04/28/03-10606/applying-the-federal-physicians-comparability-allowance-amendments-of-2000-to-participants-in-the,https://www.govinfo.gov/content/pkg/FR-2003-04-28/pdf/03-10606.pdf,Presidential Document,Executive Order,04/28/2003,04/23/2003,22563,"Applying the Federal Physicians Comparability Allowance Amendments of 2000 to Participants in the Foreign Service Retirement and Disability System, the Foreign Service Pension System, and the Central Intelligence Agency Retirement and Disability System","",13297
68 FR 19931, 03-10194,19931,https://www.federalregister.gov/documents/2003/04/23/03-10194/amendments-to-executive-order-13045-protection-of-children-from-environmental-health-risks-and,https://www.govinfo.gov/content/pkg/FR-2003-04-23/pdf/03-10194.pdf,Presidential Document,Executive Order,04/23/2003,04/18/2003,19931,"Amendments to Executive Order 13045, Protection of Children From Environmental Health Risks and Safety Risks","Amends:  EO 13045, April 21, 1997",13296
68 FR 17255, 03-8832,17255,https://www.federalregister.gov/documents/2003/04/09/03-8832/revised-list-of-quarantinable-communicable-diseases,https://www.govinfo.gov/content/pkg/FR-2003-04-09/pdf/03-8832.pdf,Presidential Document,Executive Order,04/09/2003,04/04/2003,17255,Revised List of Quarantinable Communicable Diseases,"Revokes: EO 12452, December 22, 1983;;
 ;  Amended by: EO 13375, April 1, 2005",13295
68 FR 15915, 03-8108,15917,https://www.federalregister.gov/documents/2003/04/01/03-8108/amendment-to-executive-order-10448-establishing-the-national-defense-service-medal,https://www.govinfo.gov/content/pkg/FR-2003-04-01/pdf/03-8108.pdf,Presidential Document,Executive Order,04/01/2003,03/28/2003,15915,"Amendment to Executive Order 10448, Establishing the National Defense Service Medal","Amends:  EO 10448, April 22, 1953;;
 ;  See:  EO 12776, October 8, 1991",13293
68 FR 15917, 03-8109,15919,https://www.federalregister.gov/documents/2003/04/01/03-8109/regulations-relating-to-hazardous-duty-incentive-pay-aviation-career-incentive-pay-and-submarine,https://www.govinfo.gov/content/pkg/FR-2003-04-01/pdf/03-8109.pdf,Presidential Document,Executive Order,04/01/2003,03/28/2003,15917,"Regulations Relating to Hazardous Duty Incentive Pay, Aviation Career Incentive Pay, and Submarine Duty Incentive Pay","Revokes: EO 11157, June 22, 1964; EO 11800, August 17, 1974",13294
68 FR 15313, 03-7736,15334,https://www.federalregister.gov/documents/2003/03/28/03-7736/further-amendment-to-executive-order-12958-as-amended-classified-national-security-information,https://www.govinfo.gov/content/pkg/FR-2003-03-28/pdf/03-7736.pdf,Presidential Document,Executive Order,03/28/2003,03/25/2003,15313,"Further Amendment to Executive Order 12958, as Amended, Classified National Security Information","Amends:  EO 12958, April 17, 1995;;
 ;  Revoked by: EO 13526, December 29, 2009;;
 ;  See:  EO 12356, April 6, 1982",13292
68 FR 14523, 03-7313,14526,https://www.federalregister.gov/documents/2003/03/25/03-7313/further-adjustment-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2003-03-25/pdf/03-7313.pdf,Presidential Document,Executive Order,03/25/2003,03/21/2003,14523,Further Adjustment of Certain Rates of Pay,"Amends:  EO 13282, December 31, 2002;;
 ;  See:  EO 13322, December 30, 2003",13291
68 FR 14305, 03-7160,14308,https://www.federalregister.gov/documents/2003/03/24/03-7160/confiscating-and-vesting-certain-iraqi-property,https://www.govinfo.gov/content/pkg/FR-2003-03-24/pdf/03-7160.pdf,Presidential Document,Executive Order,03/24/2003,03/20/2003,14305,Confiscating and Vesting Certain Iraqi Property,"See:  EO 13303, May 22, 2003; Notice of July 31, 2003 (68 FR 45739); Notice of May 19, 2005 (70 FR 29435);;
 ;  Amended by: EO 13350, July 29, 2004",13290
68 FR 12565, 03-6445,12568,https://www.federalregister.gov/documents/2003/03/14/03-6445/establishing-the-global-war-on-terrorism-medals,https://www.govinfo.gov/content/pkg/FR-2003-03-14/pdf/03-6445.pdf,Presidential Document,Executive Order,03/14/2003,03/12/2003,12565,Establishing the Global War on Terrorism Medals,"See:  EO 10977, December 4, 1961; EO 12985, January 11, 1996; EO 13363, November 29, 2004;  EO 13723, March 30, 2016",13289
68 FR 11455, 03-5848,11461,https://www.federalregister.gov/documents/2003/03/10/03-5848/blocking-property-of-persons-undermining-democratic-processes-or-institutions-in-zimbabwe,https://www.govinfo.gov/content/pkg/FR-2003-03-10/pdf/03-5848.pdf,Presidential Document,Executive Order,03/10/2003,03/06/2003,11455,Blocking Property of Persons Undermining Democratic Processes or Institutions in Zimbabwe,"Amended by: EO 13391, November 22, 2005;;
 ;  Superseded in part by: EO 13391, November 22, 2005;;
 ;  See:  Notice of March 2, 2004; Notice of March 2, 2005; Notice of February 27, 2006; Notice of February 28, 2007; Notice of March 4, 2008; EO 13469, July 25, 2008; Notice of March 3, 2009; Notice of March 1, 2010",13288
