citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
61 FR 24665, 96-12535,24665,https://www.federalregister.gov/documents/1996/05/16/96-12535/termination-of-combat-zone-designation-in-vietnam-and-waters-adjacent-thereto,https://www.govinfo.gov/content/pkg/FR-1996-05-16/pdf/96-12535.pdf,Presidential Document,Executive Order,05/16/1996,05/13/1996,24665,Termination of Combat Zone Designation in Vietnam and Waters Adjacent Thereto,"",13002
61 FR 21943, 96-11966,21945,https://www.federalregister.gov/documents/1996/05/10/96-11966/establishing-an-emergency-board-to-investigate-a-dispute-between-certain-railroads-represented-by,https://www.govinfo.gov/content/pkg/FR-1996-05-10/pdf/96-11966.pdf,Presidential Document,Executive Order,05/10/1996,05/08/1996,21943,Establishing an Emergency Board To Investigate a Dispute Between Certain Railroads Represented by the National Railway Labor Conference and Their Employees Represented by the Transportation Communications International Union,"",13001
61 FR 18483, 96-10550,18484,https://www.federalregister.gov/documents/1996/04/26/96-10550/order-of-succession-of-officers-to-act-as-secretary-of-defense,https://www.govinfo.gov/content/pkg/FR-1996-04-26/pdf/96-10550.pdf,Presidential Document,Executive Order,04/26/1996,04/24/1996,18483,Order of Succession of Officers To Act as Secretary of Defense,"Revokes: EO 12787, December 31, 1991;;
 ;  Revoked by: EO 13394, December 22, 2005",13000
61 FR 17227, 96-9866,17229,https://www.federalregister.gov/documents/1996/04/19/96-9866/educational-technology-ensuring-opportunity-for-all-children-in-the-next-century,https://www.govinfo.gov/content/pkg/FR-1996-04-19/pdf/96-9866.pdf,Presidential Document,Executive Order,04/19/1996,04/17/1996,17227,Educational Technology: Ensuring Opportunity for All Children in the Next Century,"Supersedes: EO 12821, November 16, 1992",12999
61 FR 15873, 96-9033,15873,https://www.federalregister.gov/documents/1996/04/09/96-9033/amendment-to-executive-order-no-11880,https://www.govinfo.gov/content/pkg/FR-1996-04-09/pdf/96-9033.pdf,Presidential Document,Executive Order,04/09/1996,04/05/1996,15873,Amendment to Executive Order No. 11880,"Amends: EO 11880, October 2, 1975;;
 ;  Revoked by: EO 13242, December 18, 2001",12998
61 FR 14949, 96-8520,14949,https://www.federalregister.gov/documents/1996/04/04/96-8520/korean-peninsula-energy-development-organization,https://www.govinfo.gov/content/pkg/FR-1996-04-04/pdf/96-8520.pdf,Presidential Document,Executive Order,04/04/1996,04/01/1996,14949,Korean Peninsula Energy Development Organization,"",12997
61 FR 13645, 96-7773,13645,https://www.federalregister.gov/documents/1996/03/28/96-7773/amendment-to-executive-order-no-12873,https://www.govinfo.gov/content/pkg/FR-1996-03-28/pdf/96-7773.pdf,Presidential Document,Executive Order,03/28/1996,03/25/1996,13645,Amendment to Executive Order No. 12873,"Amends: EO 12873, October 20, 1993",12995
61 FR 13647, 96-7774,13648,https://www.federalregister.gov/documents/1996/03/28/96-7774/management-and-general-public-use-of-the-national-wildlife-refuge-system,https://www.govinfo.gov/content/pkg/FR-1996-03-28/pdf/96-7774.pdf,Presidential Document,Executive Order,03/28/1996,03/25/1996,13647,Management and General Public Use of the National Wildlife Refuge System,"",12996
61 FR 13043, 96-7460,13045,https://www.federalregister.gov/documents/1996/03/26/96-7460/administrative-allegations-against-inspectors-general,https://www.govinfo.gov/content/pkg/FR-1996-03-26/pdf/96-7460.pdf,Presidential Document,Executive Order,03/26/1996,03/21/1996,13043,Administrative Allegations Against Inspectors General,"Superseded by: EO 13811, September 29, 2017",12993
61 FR 13047, 96-7461,13049,https://www.federalregister.gov/documents/1996/03/26/96-7461/continuing-the-presidents-committee-on-mental-retardation-and-broadening-its-membership-and,https://www.govinfo.gov/content/pkg/FR-1996-03-26/pdf/96-7461.pdf,Presidential Document,Executive Order,03/26/1996,03/21/1996,13047,Continuing the President's Committee on Mental Retardation and Broadening Its Membership and Responsibilities,"Amended by: EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13309, July 25, 2003; EO 13385, September 29, 2005; EO 13446, September 28, 2007
Continued by: EO 13811, September 29, 2017
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009;  EO 13652, September 30, 2013; EO 13708, September 30, 2015
See: EO 13585, September 30, 2011",12994
61 FR 11287, 96-6803,11288,https://www.federalregister.gov/documents/1996/03/19/96-6803/presidents-council-on-counter-narcotics,https://www.govinfo.gov/content/pkg/FR-1996-03-19/pdf/96-6803.pdf,Presidential Document,Executive Order,03/19/1996,03/15/1996,11287,President's Council on Counter-Narcotics,"Amended by: EO 13023, November 6, 1996; EO 13284, January 23, 2003",12992
61 FR 9587, 96-5832,9587,https://www.federalregister.gov/documents/1996/03/08/96-5832/adding-the-small-business-administration-to-the-presidents-export-council,https://www.govinfo.gov/content/pkg/FR-1996-03-08/pdf/96-5832.pdf,Presidential Document,Executive Order,03/08/1996,03/06/1996,9587,Adding the Small Business Administration to the President's Export Council,"Amends: EO 12131, May 4, 1979",12991
61 FR 8467, 96-5263,8470,https://www.federalregister.gov/documents/1996/03/05/96-5263/adjustments-of-rates-of-pay-and-allowances-for-the-uniformed-services-amendment-to-executive-order,https://www.govinfo.gov/content/pkg/FR-1996-03-05/pdf/96-5263.pdf,Presidential Document,Executive Order,03/05/1996,02/29/1996,8467,"Adjustments of Rates of Pay and Allowances for the Uniformed Services, Amendment to Executive Order No. 12984","Amends: EO 12984, December 28, 1995;;
 ;  Superseded by: EO 13033, December 27, 1996",12990
61 FR 6091, 96-3646,6093,https://www.federalregister.gov/documents/1996/02/15/96-3646/economy-and-efficiency-in-government-procurement-through-compliance-with-certain-immigration-and,https://www.govinfo.gov/content/pkg/FR-1996-02-15/pdf/96-3646.pdf,Presidential Document,Executive Order,02/15/1996,02/13/1996,6091,Economy and Efficiency in Government Procurement Through Compliance With Certain Immigration and Naturalization Act Provisions,"Amended by: EO 13286, February 28, 2003; EO 13466, June 26, 2008",12989
61 FR 4729, 96-2755,4963,https://www.federalregister.gov/documents/1996/02/09/96-2755/civilian-health-and-medical-program-of-the-uniformed-services-champus,https://www.govinfo.gov/content/pkg/FR-1996-02-09/pdf/96-2755.pdf,Presidential Document,Executive Order,02/09/1996,02/05/1996,4962,Civilian Health and Medical Program of the Uniformed Services (CHAMPUS),"Revokes: EO 12778, October 23, 1991;;
 ;  Supplemented by: EO 13083, May 14, 1998 (which was suspended by EO 13095, August 5, 1998); EO 13084, May 14, 1998; EO 13132, August 4, 1999;;
 ;  See: EO 12866, September 30, 1993; EO 13175, November 6, 2000",12988
61 FR 4205, 96-2407,4205,https://www.federalregister.gov/documents/1996/02/02/96-2407/amendment-to-executive-order-no-12964,https://www.govinfo.gov/content/pkg/FR-1996-02-02/pdf/96-2407.pdf,Presidential Document,Executive Order,02/02/1996,01/31/1996,4205,Amendment to Executive Order No. 12964,"Amends: EO 12964, June 21, 1995;;
 ;  See: EO 13032, December 26, 1996;;
 ;  Revoked by: EO 13062, September 29, 1997",12987
61 FR 1693, 96-955,1693,https://www.federalregister.gov/documents/1996/01/22/96-955/international-union-for-conservation-of-nature-and-natural-resources,https://www.govinfo.gov/content/pkg/FR-1996-01-22/pdf/96-955.pdf,Presidential Document,Executive Order,01/22/1996,01/18/1996,1693,International Union for Conservation of Nature and Natural Resources,"",12986
61 FR 1209, 96-622,1209,https://www.federalregister.gov/documents/1996/01/18/96-622/establishing-the-armed-forces-service-medal,https://www.govinfo.gov/content/pkg/FR-1996-01-18/pdf/96-622.pdf,Presidential Document,Executive Order,01/18/1996,01/11/1996,1209,Establishing the Armed Forces Service Medal,"Amended by: EO 13286, February 28, 2003;;
 ;  See: EO 13154, May 3, 2000",12985
61 FR 237, 95-31595,246,https://www.federalregister.gov/documents/1996/01/03/95-31595/adjustments-of-certain-rates-of-pay-and-allowances,https://www.govinfo.gov/content/pkg/FR-1996-01-03/pdf/95-31595.pdf,Presidential Document,Executive Order,01/03/1996,12/28/1995,237,Adjustments of Certain Rates of Pay and Allowances,"Amended by: EO 12990, February 29, 1996;;
 ;  Superseded by: EO 13033, December 27, 1996",12984
